CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Nov_2018,6,AEME,8,TRST,8,1.592578709,0.102136968,0.0644,0.2245
Nov_2018,6,COTA,8,HINI,8,3.43169206,0.196865115,0.0112,0.108
Nov_2018,6,COTA,8,KOEL,8,4.487193566,0.242719023,0.0016,0.032
Nov_2018,6,COTA,8,LOAF,8,6.298647267,0.310298868,2.00E-04,0.0098
Nov_2018,6,COTA,8,OUOU,8,7.431246989,0.346748231,1.00E-04,0.0055
Nov_2018,6,COTA,8,PHAF,8,3.204552859,0.186261909,0.0126,0.108
Nov_2018,6,COTA,8,REAR,8,6.375387284,0.312896496,2.00E-04,0.0098
Nov_2018,6,COTA,8,SYCA,8,6.9675515,0.332301628,7.00E-04,0.0175
Nov_2018,6,COTA,8,TRAN,8,16.19151016,0.536293484,2.00E-04,0.0098
Nov_2018,6,COTA,8,TRST,8,8.467155846,0.376868167,5.00E-04,0.0145
Nov_2018,6,HINI,8,KOEL,8,3.473297456,0.198777447,0.0019,0.032
Nov_2018,6,HINI,8,LOAF,8,4.380297244,0.238314821,1.00E-04,0.0055
Nov_2018,6,HINI,8,OUOU,8,4.567726108,0.246003527,3.00E-04,0.0102
Nov_2018,6,HINI,8,PHAF,8,2.777494794,0.16554884,0.0079,0.0869
Nov_2018,6,HINI,8,REAR,8,4.036296567,0.223787436,0.0012,0.0264
Nov_2018,6,HINI,8,SYCA,8,5.79165337,0.292631104,4.00E-04,0.012
Nov_2018,6,HINI,8,TRAN,8,9.063330287,0.392975783,2.00E-04,0.0098
Nov_2018,6,HINI,8,TRST,8,4.750281881,0.253344558,3.00E-04,0.0102
Nov_2018,6,KOEL,8,LOAF,8,2.63409092,0.158354967,0.007,0.084
Nov_2018,6,KOEL,8,OUOU,8,2.655627175,0.159443241,0.0149,0.108
