CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Apr_2019,5,OUOU,8,REAR,8,1.311675822,0.085665073,0.1582,0.3186
Apr_2019,5,OUOU,8,SYCA,8,4.185347749,0.230149448,3.00E-04,0.012
Apr_2019,5,OUOU,8,TRST,8,9.071540627,0.393191802,3.00E-04,0.012
Apr_2019,5,PHAF,8,REAR,8,2.53034025,0.153072484,0.0168,0.1008
Apr_2019,5,PHAF,8,SYCA,8,3.605049137,0.204773591,4.00E-04,0.012
Apr_2019,5,PHAF,8,TRST,8,16.0526783,0.534151337,1.00E-04,0.0055
Apr_2019,5,REAR,8,SYCA,8,4.086377676,0.225936766,5.00E-04,0.012
Apr_2019,5,REAR,8,TRST,8,8.093080462,0.36631743,1.00E-04,0.0055
Apr_2019,5,SYCA,8,TRST,8,20.88322101,0.598660915,4.00E-04,0.012
Apr_2019,6,AEME,8,TRAN,8,5.147447437,0.268832044,2.00E-04,0.0096
Apr_2019,6,AEME,8,HINI,8,11.35092004,0.447751798,3.00E-04,0.0096
Apr_2019,6,AEME,8,COTA,8,9.0974397,0.393872213,3.00E-04,0.0096
Apr_2019,6,AEME,8,KOEL,8,4.521141247,0.244107055,8.00E-04,0.0112
Apr_2019,6,AEME,8,LOAF,8,5.351051639,0.276525108,2.00E-04,0.0096
Apr_2019,6,AEME,8,OUOU,8,3.003391589,0.176634854,0.0014,0.0168
Apr_2019,6,AEME,8,PHAF,8,8.695757187,0.383144617,2.00E-04,0.0096
Apr_2019,6,AEME,8,REAR,8,4.388250918,0.238644281,2.00E-04,0.0096
Apr_2019,6,AEME,8,SYCA,8,6.495609091,0.316926863,4.00E-04,0.0096
Apr_2019,6,AEME,8,TRST,8,7.535857583,0.349921407,5.00E-04,0.0096
Apr_2019,6,TRAN,8,HINI,8,18.05269414,0.563219243,1.00E-04,0.0055
Apr_2019,6,TRAN,8,COTA,8,17.16904479,0.550836412,1.00E-04,0.0055
Apr_2019,6,TRAN,8,KOEL,8,9.374006426,0.40104406,2.00E-04,0.0096
Apr_2019,6,TRAN,8,LOAF,8,7.704987887,0.35498697,1.00E-04,0.0055
Apr_2019,6,TRAN,8,OUOU,8,6.940738749,0.3314467,2.00E-04,0.0096
Apr_2019,6,TRAN,8,PHAF,8,15.38357842,0.523543396,2.00E-04,0.0096
Apr_2019,6,TRAN,8,REAR,8,7.131979276,0.337496984,5.00E-04,0.0096
Apr_2019,6,TRAN,8,SYCA,8,12.29415987,0.467562376,2.00E-04,0.0096
Apr_2019,6,TRAN,8,TRST,8,3.857522691,0.216016676,0.0015,0.0168
Apr_2019,6,HINI,8,COTA,8,22.62911053,0.617790337,2.00E-04,0.0096
Apr_2019,6,HINI,8,KOEL,8,9.048942147,0.392596853,1.00E-04,0.0055
Apr_2019,6,HINI,8,LOAF,8,7.783336076,0.35730689,2.00E-04,0.0096
Apr_2019,6,HINI,8,OUOU,8,7.674975613,0.354093852,4.00E-04,0.0096
Apr_2019,6,HINI,8,PHAF,8,23.46731124,0.626340948,2.00E-04,0.0096
Apr_2019,6,HINI,8,REAR,8,9.974344755,0.416042434,3.00E-04,0.0096
Apr_2019,6,HINI,8,SYCA,8,8.860467373,0.387589074,2.00E-04,0.0096
Apr_2019,6,HINI,8,TRST,8,25.88787691,0.649016165,3.00E-04,0.0096
Apr_2019,6,COTA,8,KOEL,8,2.232800984,0.137548719,0.0146,0.073
