"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Brood Care","Exploring","Food Processing","Food Processing","Self Maintenance","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Self Maintenance","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Self Maintenance","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Self Maintenance","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Exploring","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Antennating Nestmate","Resting","Exploring","Brood Care","Resting"
