Host.Species,Lake,Year,Julian.Day,Julian,Date,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,pasteuria.inf.density,metsch.prev,metsch.inf.density,spiro.prev,spiro.inf.density,brood.prev,brood.inf.density,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,micG.inf.density,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
dentifera,Cedar,2021,2021158,158,6/7/21,293,91,200,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006825939,0,0,0,0,0,32646.8,42677.5,32646.8,6631,1929.5,111.4,1358.8,0,0,0
dentifera,Cedar,2021,2021172,172,6/21/21,202,82,119,0,0,1,0,0,0,0,0,0,0,0,0,0.004950495,237.7920792,0,0,0,0,0,0,0,0,0,0,0,0,0,48034,71377.2,48034,12246.3,264.2,0,10832.7,0,0,0
dentifera,Cedar,2021,2021187,187,7/6/21,785,485,277,0,0,3,0,4,2,0,0,0,0,15,0,0.003821656,1630.573376,0,0,0.005095541,2174.097834,0.002547771,1087.048917,0,0,0,0,0.01910828,8152.866879,0,426666.7,546242.1,426666.7,34785.6,5978.8,0,78811,0,0,0
dentifera,Cedar,2021,2021204,204,7/23/21,224,88,117,0,0,0,0,0,1,0,0,0,2,16,1,0,0,0,0,0,0,0.004464286,135.88125,0,0,0,0.008928571,0.071428571,2174.1,0.004464286,30437.4,42763.7,30437.4,570.7,3505.7,135.9,8114,0,0,0
dentifera,Cedar,2021,2021214,214,8/2/21,200,98,64,0,0,1,0,0,0,0,0,0,1,36,0,0.005,152.866,0,0,0,0,0,0,0,0,0,0.005,0.18,5503.176,0,30573.2,38115,30573.2,1358.8,2581.7,231.4,3369.9,0,0,0
dentifera,Cedar,2021,2021228,228,8/16/21,204,42,147,0,0,1,0,0,0,0,0,0,0,14,0,0.004901961,61.76421569,0,0,0,0,0,0,0,0,0,0,0.068627451,864.6990196,0,12599.9,17681.9,12599.9,625.1,1087,244.6,3125.3,0,0,0
dentifera,Cedar,2021,2021242,242,8/30/21,298,93,189,0,0,1,0,0,0,0,0,0,0,15,0,0.003355705,90.58724832,0,0,0,0,0,0,0,0,0,0,0.05033557,1358.808725,0,26995,49632.7,26995,190.2,18479.8,0,3967.7,0,0,0
dentifera,Cedar,2021,2021256,256,9/13/21,293,149,135,0,0,1,0,0,2,0,0,0,0,6,0,0.003412969,108.7047782,0,0,0,0,0.006825939,217.4095563,0,0,0,0,0.020477816,652.2286689,0,31850.5,42136.7,31850.5,353.3,7473.5,67.9,2391.5,0,0,0
dentifera,Cedar,2021,2021270,270,9/27/21,309,160,104,0,0,2,0,1,8,0,0,0,2,32,0,0.006472492,203.8213592,0,0,0.003236246,101.9106796,0.025889968,815.2854369,0,0,0,0.006472492,0.103559871,3261.141748,0,31490.4,42153.5,31490.4,203.8,10153.6,0,305.7,0,0,0
dentifera,Cedar,2021,2021284,284,10/11/21,240,55,143,26,0,2,0,1,2,0,0,0,6,3,3,0.008333333,217.41,0,0,0.004166667,108.705,0.008333333,217.41,0,0,0,0.025,0.0125,326.115,0.0125,26089.2,49025.9,26089.2,217.4,21958.4,0,760.9,0,0,0
