Sample ID,Lake,Collection Date,Point,Replicate,Preservation,Extraction Method,Species,Habitat,Detection 
PKEX075,Pike Lake,7/15/2021,7,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
PKEX076,Pike Lake,7/15/2021,7,2,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
PKEX080,Pike Lake,7/15/2021,7,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
PKEX081,Pike Lake,7/15/2021,7,3,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
PKEX102,Pike Lake,7/15/2021,10,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
PKEX103,Pike Lake,7/15/2021,10,1,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
PKEX107,Pike Lake,7/15/2021,10,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
PKEX108,Pike Lake,7/15/2021,10,2,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
PKEX112,Pike Lake,7/15/2021,10,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
PKEX113,Pike Lake,7/15/2021,10,3,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
SHGX003,Shagawa Lake,8/2/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX004,Shagawa Lake,8/2/2021,1,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX008,Shagawa Lake,8/2/2021,1,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX009,Shagawa Lake,8/2/2021,1,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX013,Shagawa Lake,8/2/2021,1,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX014,Shagawa Lake,8/2/2021,1,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX025,Shagawa Lake,8/2/2021,3,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX026,Shagawa Lake,8/2/2021,3,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX030,Shagawa Lake,8/2/2021,3,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX031,Shagawa Lake,8/2/2021,3,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX035,Shagawa Lake,8/2/2021,3,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX036,Shagawa Lake,8/2/2021,3,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX045,Shagawa Lake,8/2/2021,5,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX046,Shagawa Lake,8/2/2021,5,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX050,Shagawa Lake,8/2/2021,5,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX051,Shagawa Lake,8/2/2021,5,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX055,Shagawa Lake,8/2/2021,5,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SHGX056,Shagawa Lake,8/2/2021,5,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SHGX070,Shagawa Lake,8/3/2021,7,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
SHGX071,Shagawa Lake,8/3/2021,7,1,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
SHGX075,Shagawa Lake,8/3/2021,7,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
SHGX076,Shagawa Lake,8/3/2021,7,2,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
SHGX080,Shagawa Lake,8/3/2021,7,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
SHGX081,Shagawa Lake,8/3/2021,7,3,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
SHGX102,Shagawa Lake,8/3/2021,10,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
SHGX103,Shagawa Lake,8/3/2021,10,1,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
SHGX107,Shagawa Lake,8/3/2021,10,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
SHGX108,Shagawa Lake,8/3/2021,10,2,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
SHGX112,Shagawa Lake,8/3/2021,10,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Offshore,0
SHGX113,Shagawa Lake,8/3/2021,10,3,CTAB,phenol-chloroform-isoamyl,sw,Offshore,0
SLEX003,St. Louis River Estuary,8/24/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SLEX004,St. Louis River Estuary,8/24/2021,1,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SLEX008,St. Louis River Estuary,8/24/2021,1,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SLEX009,St. Louis River Estuary,8/24/2021,1,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SLEX013,St. Louis River Estuary,8/24/2021,1,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SLEX014,St. Louis River Estuary,8/24/2021,1,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SLEX025,St. Louis River Estuary,8/25/2021,3,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SLEX026,St. Louis River Estuary,8/25/2021,3,1,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SLEX030,St. Louis River Estuary,8/25/2021,3,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SLEX031,St. Louis River Estuary,8/25/2021,3,2,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
SLEX035,St. Louis River Estuary,8/25/2021,3,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,sw,Nearshore,0
SLEX036,St. Louis River Estuary,8/25/2021,3,3,CTAB,phenol-chloroform-isoamyl,sw,Nearshore,0
